"","(Intercept)"
"1",0.477883763325261
"2",0.526218893853677
"3",0.49291793499239
"4",0.524721508780017
"5",0.48358537236673
"6",0.452090105904269
"7",0.517296738220346
"8",0.475354813179007
"9",0.476540293257816
"10",0.510797003640987
"11",0.584203222980558
"12",0.472455369906356
"13",0.530679014244895
"14",0.482942133949769
"15",0.522221023513785
"16",0.505088200158023
"17",0.47503200903172
"18",0.524807097669479
"19",0.456069431583886
"20",0.473747485647291
"21",0.442091067605753
"22",0.502173955861244
"23",0.513260744727937
"24",0.514427252428192
"25",0.467836171459018
"26",0.519211077906195
"27",0.454872058644197
"28",0.460628671860781
"29",0.483693453853478
"30",0.498421240325023
"31",0.46303518081649
"32",0.48751081037751
"33",0.539762308650774
"34",0.438604367117451
"35",0.456056294803085
"36",0.478637461455943
"37",0.510324117748226
"38",0.501525813723633
"39",0.504468169552123
"40",0.485973123928917
"41",0.495349762470638
"42",0.530929009075952
"43",0.476415531073585
"44",0.527623254411802
"45",0.457290265798471
"46",0.459289686735234
"47",0.533398922907308
"48",0.462563783639632
"49",0.523468318269951
"50",0.483711106813678
"51",0.498084233366956
"52",0.479531553816545
"53",0.511668223604862
"54",0.501577079656325
"55",0.417542533584527
"56",0.416338198813028
"57",0.509553128391441
"58",0.461139547962576
"59",0.469804042156771
"60",0.504240099333241
"61",0.46592490917888
"62",0.480039716994289
"63",0.477132687014653
"64",0.525875810064447
"65",0.510049489512763
"66",0.468859452256901
"67",0.517576293222911
"68",0.428678169149782
"69",0.505802594281273
"70",0.485796420563663
"71",0.529454780203831
"72",0.510212311704487
"73",0.473342241958533
"74",0.509570727301603
"75",0.523412620885035
"76",0.524621337781923
"77",0.543166458748082
"78",0.491003850817257
"79",0.476386501197386
"80",0.492998250732799
"81",0.461434982194972
"82",0.515270121597564
"83",0.491767317414587
"84",0.500544890170547
"85",0.491988819793439
"86",0.484295296091604
"87",0.506756282787093
"88",0.511763305469742
"89",0.544159277190369
"90",0.470148864008908
"91",0.423583226246144
"92",0.449320739479642
"93",0.476278641487194
"94",0.486137113324218
"95",0.472255923524461
"96",0.523678900271112
"97",0.499557086468372
"98",0.470522367451077
"99",0.485284760430945
"100",0.483386216088843
"101",0.456605582568258
"102",0.429018356246357
"103",0.495526286212171
"104",0.490945470939977
"105",0.5295676245294
"106",0.481503280198117
"107",0.510502582418204
"108",0.505112584462525
"109",0.556819815484781
"110",0.454702872652796
"111",0.483141423242717
"112",0.4836533119878
"113",0.461912365540756
"114",0.511351017997889
"115",0.534537467625063
"116",0.52159578444734
"117",0.55048223286365
"118",0.494506091527096
"119",0.536624486605843
"120",0.505220335318662
"121",0.425710564963145
"122",0.490472880791183
"123",0.462803717235494
"124",0.54199144842956
"125",0.468485844810616
"126",0.517757283669238
"127",0.493218395139289
"128",0.500686808747837
"129",0.478238048086037
"130",0.522697640075512
"131",0.478154950424769
"132",0.474607039130844
"133",0.444562413324232
"134",0.566830733644826
"135",0.492865246948894
"136",0.490249037851858
"137",0.448860867132126
"138",0.474121967231403
"139",0.512873908898189
"140",0.48585770703732
"141",0.466075892367649
"142",0.50437849472331
"143",0.455185882735645
"144",0.478910327213639
"145",0.451642064557265
"146",0.511480980015256
"147",0.527261688748941
"148",0.479249071287357
"149",0.521998115685241
"150",0.509143363124924
"151",0.549047252731212
"152",0.502222551692263
"153",0.5434879456445
"154",0.466843464798574
"155",0.504721919577957
"156",0.494627791080262
"157",0.469148183451525
"158",0.498168127004848
"159",0.526824194970122
"160",0.458241155130547
"161",0.475349340697276
